Make,Brand,Country,Sports,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail,HighwayMPG,Dealer,Engine,Cylinders,Horsepower,CityMPG,Weight,Wheelbase,Length,Width
Acura 3.5 RL,Acura,Japan,0,0,0,0,0,0,0,43755,24,39014,3.5,6,225,18,3880,115,197,72
Acura 3.5 RL Navigation,Acura,Japan,0,0,0,0,0,0,0,46100,24,41100,3.5,6,225,18,3893,115,197,72
Acura MDX,Acura,Japan,0,1,0,0,0,1,0,36945,23,33337,3.5,6,265,17,4451,106,189,77
Acura NSX S,Acura,Japan,1,0,0,0,0,0,1,89765,24,79978,3.2,6,290,17,3153,100,174,71
Acura RSX,Acura,Japan,0,0,0,0,0,0,0,23820,31,21761,2,4,200,24,2778,101,172,68
Acura TL,Acura,Japan,0,0,0,0,0,0,0,33195,28,30299,3.2,6,270,20,3575,108,186,72
Acura TSX,Acura,Japan,0,0,0,0,0,0,0,26990,29,24647,2.4,4,200,22,3230,105,183,69
Audi A4 1.8T,Audi,EU,0,0,0,0,0,0,0,25940,31,23508,1.8,4,170,22,3252,104,179,70
Audi A4 1.8T convertible,Audi,EU,0,0,0,0,0,0,0,35940,30,32506,1.8,4,170,23,3638,105,180,70
Audi A4 3.0 convertible,Audi,EU,0,0,0,0,0,0,0,42490,27,38325,3,6,220,20,3814,105,180,70
Audi A4 3.0,Audi,EU,0,0,0,0,0,0,0,31840,28,28846,3,6,220,20,3462,104,179,70
Audi A4 3.0 Quattro manual,Audi,EU,0,0,0,0,0,1,0,33430,26,30366,3,6,220,17,3583,104,179,70
Audi A4 3.0 Quattro auto,Audi,EU,0,0,0,0,0,1,0,34480,25,31388,3,6,220,18,3627,104,179,70
Audi A4 3.0 Quattro convertible,Audi,EU,0,0,0,0,0,1,0,44240,25,40075,3,6,220,18,4013,105,180,70
Audi A6 2.7 Turbo Quattro four-door,Audi,EU,0,0,0,0,0,1,0,42840,25,38840,2.7,6,250,18,3836,109,192,71
Audi A6 3.0,Audi,EU,0,0,0,0,0,0,0,36640,27,33129,3,6,220,20,3561,109,192,71
Audi A6 3.0 Avant Quattro,Audi,EU,0,0,1,0,0,1,0,40840,25,37060,3,6,220,18,4035,109,192,71
Audi A6 3.0 Quattro,Audi,EU,0,0,0,0,0,1,0,39640,25,35992,3,6,220,18,3880,109,192,71
Audi A6 4.2 Quattro,Audi,EU,0,0,0,0,0,1,0,49690,24,44936,4.2,8,300,17,4024,109,193,71
Audi A8 L Quattro,Audi,EU,0,0,0,0,0,1,0,69190,24,64740,4.2,8,330,17,4399,121,204,75
Audi S4 Avant Quattro,Audi,EU,0,0,1,0,0,1,0,49090,21,44446,4.2,8,340,15,3936,104,179,70
Audi S4 Quattro,Audi,EU,0,0,0,0,0,1,0,48040,20,43556,4.2,8,340,14,3825,104,179,70
Audi RS 6,Audi,EU,1,0,0,0,0,0,0,84600,22,76417,4.2,8,450,15,4024,109,191,78
Audi TT 1.8,Audi,EU,1,0,0,0,0,0,0,35940,28,32512,1.8,4,180,20,3131,95,159,73
Audi TT 1.8 Quattro,Audi,EU,1,0,0,0,0,1,0,37390,28,33891,1.8,4,225,20,2921,96,159,73
Audi TT 3.2,Audi,EU,1,0,0,0,0,1,0,40590,29,36739,3.2,6,250,21,3351,96,159,73
BMW 325i,BMW,EU,0,0,0,0,0,0,1,28495,29,26155,2.5,6,184,20,3219,107,176,69
BMW 325Ci,BMW,EU,0,0,0,0,0,0,1,30795,29,28245,2.5,6,184,20,3197,107,177,69
BMW 325Ci convertible,BMW,EU,0,0,0,0,0,0,1,37995,27,34800,2.5,6,184,19,3560,107,177,69
BMW 325xi,BMW,EU,0,0,0,0,0,1,0,30245,27,27745,2.5,6,184,19,3461,107,176,69
BMW 325xi Sport,BMW,EU,0,0,1,0,0,1,0,32845,26,30110,2.5,6,184,19,3594,107,176,69
BMW 330Ci,BMW,EU,0,0,0,0,0,0,1,36995,30,33890,3,6,225,20,3285,107,176,69
BMW 330Ci convertible,BMW,EU,0,0,0,0,0,0,1,44295,28,40530,3,6,225,19,3616,107,177,69
BMW 330i,BMW,EU,0,0,0,0,0,0,1,35495,30,32525,3,6,225,20,3285,107,176,69
BMW 330xi,BMW,EU,0,0,0,0,0,1,0,37245,29,34115,3,6,225,20,3483,107,176,69
BMW 525i four-door,BMW,EU,0,0,0,0,0,0,1,39995,28,36620,2.5,6,184,19,3428,114,191,73
BMW 530i four-door,BMW,EU,0,0,0,0,0,0,1,44995,30,41170,3,6,225,20,3472,114,191,73
BMW 545iA four-door,BMW,EU,0,0,0,0,0,0,1,54995,26,50270,4.4,8,325,18,3814,114,191,73
BMW 745i four-door,BMW,EU,0,0,0,0,0,0,1,69195,26,63190,4.4,8,325,18,4376,118,198,75
BMW 745Li four-door,BMW,EU,0,0,0,0,0,0,1,73195,26,66830,4.4,8,325,18,4464,123,204,75
BMW M3,BMW,EU,1,0,0,0,0,0,1,48195,24,44170,3.2,6,333,16,3415,108,177,70
BMW M3 convertible,BMW,EU,1,0,0,0,0,0,1,56595,23,51815,3.2,6,333,16,3781,108,177,70
BMW X3 3.0i,BMW,EU,0,1,0,0,0,1,0,37000,23,33873,3,6,225,16,4023,110,180,73
BMW X5 4.4i,BMW,EU,0,1,0,0,0,1,0,52195,22,47720,4.4,8,325,16,4824,111,184,74
BMW Z4 convertible 2.5i two-door,BMW,EU,1,0,0,0,0,0,1,33895,28,31065,2.5,6,184,20,2932,98,161,70
BMW Z4 convertible 3.0i two-door,BMW,EU,1,0,0,0,0,0,1,41045,29,37575,3,6,225,21,2998,98,161,70
Buick Century Custom,Buick,US,0,0,0,0,0,0,0,22180,30,20351,3.1,6,175,20,3353,109,195,73
Buick LeSabre Custom four-door,Buick,US,0,0,0,0,0,0,0,26470,29,24282,3.8,6,205,20,3567,112,200,74
Buick LeSabre Limited,Buick,US,0,0,0,0,0,0,0,32245,29,29566,3.8,6,205,20,3591,112,200,74
