Country,Growth,Life,IMR,TFR,GDP
Albania,1.2,69.2,30,2.9,659.91
Argentina,1.2,68.6,24,2.8,4343.04
Australia,1.1,74.7,7,1.9,17529.98
Austria,1,73,7,1.5,20561.88
Benin,3.2,45.9,86,7.1,398.21
Bolivia,2.4,57.7,75,4.8,812.19
Brazil,1.5,64,58,2.9,3219.22
Cambodia,2.8,50.1,116,5.3,97.39
China,1.1,66.7,44,2,341.31
Colombia,1.7,66.4,37,2.7,1246.87
Croatia,-1.5,67.1,9,1.7,5400.66
ElSalvador,2.2,63.9,46,4,988.58
France,0.4,73,7,1.7,21076.77
Greece,0.6,75,10,1.4,6501.23
Guatemala,2.9,62.4,48,5.4,831.81
Iran,2.3,67,36,5,9129.34
Italy,-0.2,74.2,8,1.3,19204.92
Malawi,3.3,45,143,7.2,229.01
Netherlands,0.7,74.4,7,1.6,18961.9
Pakistan,3.1,60.6,91,6.2,385.59
Papua,1.9,55.2,68,5.1,839.03
Peru,1.7,64.1,64,3.4,1674.15
Romania,-0.5,66.6,23,1.5,1647.97
USA,1.1,72.5,9,2.1,21965.08
Zimbabwe,4.4,52.4,67,5,686.75
